1,hotel,pleasant
2,staff,very helpful
3,I,would stay there again
4,location,Superb
5,breakfast,amazing
6,Furniture,plentiful
7,location,quiet
8,Furniture,slightly worn
9,staff,so friendly
10,lights,didn’t seem to work well
11,lights,kept flickering
12,first room,not suitable for personal reasons
13,breakfast,not worth the money
14,staff,really helpful
15,staff,sorted it straight away
16,room,Very clean
17,staff,Welcoming
18,in and out,easy
19,people,just not comfy for us
20,staff,polite
21,mattress,very soft
22,people,would love it
23,shower,Nice
24,Breakfast,great
25,Door on the shower,didn't stop water flowing out
26,Staff,friendly
27,Lights,great
28,Room,way overpriced
29,Lights,weren't working properly in the room
30,you,can’t even connect to Netflix or connect your phone
31,panel,do not disturb
32,shower in my room,had MOLD in it
33,TVs,pretty outdated
34,carpets,screaming
35,property,very well located
36,room,clean
37,location,close to Earls Court train station and lots of restaurants.
38,location,hear people talking and walking around
39,location,perfect
40,room,small
41,location,thin
42,room,comfortable
43,I,had everything I needed
44,room,"had tea/coffee facilties, hair dryer, mini fridge, iron and best of all a microwave"
45,I,small.
46,I,smaller than expected
47,it,still great
48,Our second stay at the Park,Grand.
49,breakfast selection,also very goodLocation ideally for Earls Court Tube
50,roomThe room next door,also was a loud guest withloud music
51,staff,dealt with this swiftly
52,guest withloud music,loud
53,staff,superb
54,room,very tired
55,location,only minutes to the tube station
56,location,very small
57,London's transportation system,wonderful
58,check in staff,incredibly friendly
59,Our room,on the small side
60,team,really were happy to help
61,stay,comfortable
62,bed,comfy
63,Spots in the room,could have been more thoroughly cleaned
64,breakfast buffet,good
65,room,had all key amenities
66,room,nice
67,room,quiet
68,staff,very attentive
69,restaurant at breakfast,understaffed
70,bar area,No
71,staff,couldn't have been pleasant  and eager to please
72,location,excellent
73,bar is  in the restaurant,so not ideal for relaxing
74,Everything,went well
75,room,a good size for the location
76,room,well equipped
77,room,Very comfortable
78,staff,comfortable
79,staff,very friendly
80,Restaurant,also very good
81,Staff,friendly
82,Location,good
83,stay,great
84,Staff,helpful
85,Hotel,needs a renovation
86,Furniture,old
87,Breakfast,repetitive
88,Staff,responsive
89,Bathroom fittings,rusty
90,staff,Helpful
91,they,need to update the safe boxes in the rooms
92,Location,old
93,choice of food,Great
94,location,Good
95,location,just 2 minutes from the tube
96,I,wasn’t paying £1000 a night
97,Location,easy access to the tube
98,Location,perfect
99,room,clean
100,staff,friendly
101,breakfast,good
102,room,had all you would expect
103,location,"just right for what i needed, earls court, tube station Piccadilly line, to airport Heathrow"
104,room,large
105,sofa,needs recovering or replacing
106,room,serviced everyday
107,room,to a high standard
108,staff,very helpful
109,wifi,could be a bit better
110,rooms,decent size
111,we,excellent
112,hotel,excellent value
113,we,liked it as much the second time
114,bed,very comfortable
115,everything in the bathroom,works
116,hotel,Close to public transport and Kensington Gardens.
117,amenities,good
118,hotel,ideally located
119,hotel reception,small
120,cost,worth the hotel
121,room,all good
122,room,clean comfortable
123,reception staff,made sure we had bottles of water as it was a hot day
124,staff,nice
125,staff,very helpful
126,staff,helpful
127,wifithe room,small
128,location,very good
129,space,little
130,chair,no
131,breakfast,cold
132,staff,great
133,staff,helpful
134,breakfast,not much selection
135,location,clean
136,location,comfortable
137,location,great
138,location,small
139,location,Great
140,service &amp; breakfast,good
141,staff,lovely
142,staff,wonderful
143,location,excellent
144,room,on the small side
145,staff,very helpful
146,front of house staff,Friendly
147,location,Great
148,rolm,loverly
149,staff,amazing
150,location,couldn’t tell when it day time and night time
151,everything else,great
152,room,so dark
153,location,central
154,room,clean
155,location,convenient
156,room,nice
157,coffee machine,broken
158,Room,Easy
159,bed,Good quality
160,Air con,a bit hit &amp; miss
161,bathroom,additional
162,bathroom,clean
163,bathroom,good
164,Room,still compact
165,lobby area,small
166,breakfast,Good
167,shelf space in bathroom,No
168,staff,great
169,Work table in room,small to be actually used
170,Room,well stocked
171,location,close to transport and Hyde Park
172,location,not fixed after we complained
173,internet speed,terrible
174,staff,Great
175,location,Great
176,she,magically solved the problem to my immense relief
177,she,‘borrowed’ my phone
178,Location,great
179,breakfast,Goid
180,bar,No real
181,location,So close to Earls Court tube
182,breakfast Service,a little slow.
183,Staff,functional
184,breakfast,functional rather than welcoming
185,location,peaceful
186,location,5 minutes from Earls Court tube station.
187,location,Excellent
188,staff,Fantastic
189,breakfast,Good
190,gift,Lovely
191,Windows,actually open
192,Windows,always a bonus
193,street noise,no
194,location,Great
195,shower,Nice
196,bathroom,almost claustrophobic
197,staff,attentive
198,mattress,bouncy
199,I,found some stains in the mattress sheet the day we arrived.
200,breakfast,good
